Vegetation Type,,Acidobacteria,Proteobacteria,Actinobacteria,Bacteroidetes,Thaumarchaeota,Chloroflexi,Planctomycetes,Gemmatimonadetes,Firmicutes,Nitrospirae,Euryarchaeota,others,Site,Composition,Phylum,
,,,,,,,,,,,,,,NM19,0.199333333,Thaumarchaeota,
,,,,,,,,,,,,,,NM23,0.120133333,Thaumarchaeota,
,,,,,,,,,,,,,,NM31,0.121866667,Thaumarchaeota,
,,,,,,,,,,,,,,NM33,0.134266667,Thaumarchaeota,
,,,,,,,,,,,,,,NM35,0.1352,Thaumarchaeota,
,,,,,,,,,,,,,,NM37,0.111466667,Thaumarchaeota,
,,,,,,,,,,,,,,NM39,0.056533333,Thaumarchaeota,
,,,,,,,,,,,,,,NM41,0.166533333,Thaumarchaeota,
,,,,,,,,,,,,,,NM43,0.132,Thaumarchaeota,
,,,,,,,,,,,,,,NM45,0.1116,Thaumarchaeota,
,,,,,,,,,,,,,,NM47,0.117066667,Thaumarchaeota,
,,,,,,,,,,,,,,NM49,0.071333333,Thaumarchaeota,
,,,,,,,,,,,,,,NM51,0.0532,Thaumarchaeota,
,,,,,,,,,,,,,,NM53,0.141333333,Thaumarchaeota,
,,,,,,,,,,,,,,NM55,0.1232,Thaumarchaeota,
,,,,,,,,,,,,,,NM61,0.090533333,Thaumarchaeota,
,,,,,,,,,,,,,,NM63,0.0784,Thaumarchaeota,
,,,,,,,,,,,,,,NM65,0.1,Thaumarchaeota,
,,,,,,,,,,,,,,NM67,0.060933333,Thaumarchaeota,
,,,,,,,,,,,,,,NM69,0.0628,Thaumarchaeota,
,,,,,,,,,,,,,,NM71,0.077066667,Thaumarchaeota,
,,,,,,,,,,,,,,NM73,0.012933333,Thaumarchaeota,
,,,,,,,,,,,,,,NM79,0.070266667,Thaumarchaeota,
,,,,,,,,,,,,,,NM81,0.1728,Thaumarchaeota,
,,,,,,,,,,,,,,NM83,0.2504,Thaumarchaeota,
,,,,,,,,,,,,,,NM85,0.036,Thaumarchaeota,
,,,,,,,,,,,,,,NM113,0.030933333,Thaumarchaeota,
,,,,,,,,,,,,,,NM115,0.019466667,Thaumarchaeota,
,,,,,,,,,,,,,,NM117,0.1008,Thaumarchaeota,
,,,,,,,,,,,,,,NM119,0.024666667,Thaumarchaeota,
,,,,,,,,,,,,,,NM121,0.018,Thaumarchaeota,
,,,,,,,,,,,,,,NM123,0.020533333,Thaumarchaeota,
,,,,,,,,,,,,,,NM125,0.057066667,Thaumarchaeota,
,,,,,,,,,,,,,,NM127,0.0432,Thaumarchaeota,
,,,,,,,,,,,,,,NM129,0.0292,Thaumarchaeota,
,,,,,,,,,,,,,,NM7,0.0752,Thaumarchaeota,
,,,,,,,,,,,,,,NM9,0.107333333,Thaumarchaeota,
,,,,,,,,,,,,,,NM11,0.1172,Thaumarchaeota,
,,,,,,,,,,,,,,NM13,0.091733333,Thaumarchaeota,
,,,,,,,,,,,,,,NM17,0.1016,Thaumarchaeota,
,,,,,,,,,,,,,,NM21,0.100133333,Thaumarchaeota,
,,,,,,,,,,,,,,NM25,0.0904,Thaumarchaeota,
,,,,,,,,,,,,,,NM27,0.038666667,Thaumarchaeota,
,,,,,,,,,,,,,,NM29,0.083066667,Thaumarchaeota,
,,,,,,,,,,,,,,NM57,0.045466667,Thaumarchaeota,
,,,,,,,,,,,,,,NM59,0.129466667,Thaumarchaeota,
,,,,,,,,,,,,,,NM75,0.116933333,Thaumarchaeota,
,,,,,,,,,,,,,,NM77,0.052,Thaumarchaeota,
,,,,,,,,,,,,,,NM87,0.039866667,Chloroflexi,
,,,,,,,,,,,,,,NM89,0.074533333,Chloroflexi,
,,,,,,,,,,,,,,NM91,0.109066667,Chloroflexi,
,,,,,,,,,,,,,,NM93,0.036933333,Chloroflexi,
,,,,,,,,,,,,,,NM95,0.0336,Chloroflexi,
,,,,,,,,,,,,,,NM97,0.035066667,Chloroflexi,
,,,,,,,,,,,,,,NM99,0.033333333,Chloroflexi,
,,,,,,,,,,,,,,NM101,0.025866667,Chloroflexi,
,,,,,,,,,,,,,,NM103,0.036666667,Chloroflexi,
,,,,,,,,,,,,,,NM105,0.043066667,Chloroflexi,
,,,,,,,,,,,,,,NM107,0.034266667,Chloroflexi,
,,,,,,,,,,,,,,NM109,0.032933333,Chloroflexi,
,,,,,,,,,,,,,,NM111,0.050266667,Chloroflexi,
,,,,,,,,,,,,,,NM1,0.0504,Chloroflexi,
,,,,,,,,,,,,,,NM3,0.060666667,Chloroflexi,
,,,,,,,,,,,,,,NM5,0.081333333,Chloroflexi,
,,,,,,,,,,,,,,NM15,0.052133333,Chloroflexi,
,,,,,,,,,,,,,,NM19,0.054533333,Chloroflexi,
,,,,,,,,,,,,,,NM23,0.064133333,Chloroflexi,
,,,,,,,,,,,,,,NM31,0.045733333,Chloroflexi,
,,,,,,,,,,,,,,NM33,0.056533333,Chloroflexi,
,,,,,,,,,,,,,,NM35,0.0508,Chloroflexi,
,,,,,,,,,,,,,,NM37,0.043733333,Chloroflexi,
,,,,,,,,,,,,,,NM39,0.065066667,Chloroflexi,
,,,,,,,,,,,,,,NM41,0.051333333,Chloroflexi,
,,,,,,,,,,,,,,NM43,0.0624,Chloroflexi,
,,,,,,,,,,,,,,NM45,0.047466667,Chloroflexi,
,,,,,,,,,,,,,,NM47,0.048266667,Chloroflexi,
,,,,,,,,,,,,,,NM49,0.074,Chloroflexi,
,,,,,,,,,,,,,,NM51,0.067733333,Chloroflexi,
,,,,,,,,,,,,,,NM53,0.0456,Chloroflexi,
,,,,,,,,,,,,,,NM55,0.047866667,Chloroflexi,
,,,,,,,,,,,,,,NM61,0.046266667,Chloroflexi,
,,,,,,,,,,,,,,NM63,0.048933333,Chloroflexi,
,,,,,,,,,,,,,,NM65,0.055466667,Chloroflexi,
,,,,,,,,,,,,,,NM67,0.033333333,Chloroflexi,
,,,,,,,,,,,,,,NM69,0.052533333,Chloroflexi,
,,,,,,,,,,,,,,NM71,0.049066667,Chloroflexi,
,,,,,,,,,,,,,,NM73,0.048666667,Chloroflexi,
,,,,,,,,,,,,,,NM79,0.053066667,Chloroflexi,
,,,,,,,,,,,,,,NM81,0.034266667,Chloroflexi,
,,,,,,,,,,,,,,NM83,0.039466667,Chloroflexi,
,,,,,,,,,,,,,,NM85,0.033733333,Chloroflexi,
,,,,,,,,,,,,,,NM113,0.0448,Chloroflexi,
,,,,,,,,,,,,,,NM115,0.033466667,Chloroflexi,
,,,,,,,,,,,,,,NM117,0.030533333,Chloroflexi,
,,,,,,,,,,,,,,NM119,0.0348,Chloroflexi,
,,,,,,,,,,,,,,NM121,0.025466667,Chloroflexi,
,,,,,,,,,,,,,,NM123,0.0268,Chloroflexi,
,,,,,,,,,,,,,,NM125,0.041066667,Chloroflexi,
,,,,,,,,,,,,,,NM127,0.043333333,Chloroflexi,
,,,,,,,,,,,,,,NM129,0.055066667,Chloroflexi,
,,,,,,,,,,,,,,NM7,0.0712,Chloroflexi,
,,,,,,,,,,,,,,NM9,0.084666667,Chloroflexi,
,,,,,,,,,,,,,,NM11,0.077333333,Chloroflexi,
,,,,,,,,,,,,,,NM13,0.066,Chloroflexi,
,,,,,,,,,,,,,,NM17,0.054666667,Chloroflexi,
,,,,,,,,,,,,,,NM21,0.0736,Chloroflexi,
,,,,,,,,,,,,,,NM25,0.0712,Chloroflexi,
,,,,,,,,,,,,,,NM27,0.066,Chloroflexi,
,,,,,,,,,,,,,,NM29,0.048266667,Chloroflexi,
,,,,,,,,,,,,,,NM57,0.073866667,Chloroflexi,
,,,,,,,,,,,,,,NM59,0.065333333,Chloroflexi,
,,,,,,,,,,,,,,NM75,0.066,Chloroflexi,
,,,,,,,,,,,,,,NM77,0.0592,Chloroflexi,
,,,,,,,,,,,,,,NM87,0.072266667,Planctomycetes,
,,,,,,,,,,,,,,NM89,0.052266667,Planctomycetes,
,,,,,,,,,,,,,,NM91,0.049333333,Planctomycetes,
,,,,,,,,,,,,,,NM93,0.0708,Planctomycetes,
,,,,,,,,,,,,,,NM95,0.0576,Planctomycetes,
,,,,,,,,,,,,,,NM97,0.063466667,Planctomycetes,
,,,,,,,,,,,,,,NM99,0.059733333,Planctomycetes,
,,,,,,,,,,,,,,NM101,0.072133333,Planctomycetes,
,,,,,,,,,,,,,,NM103,0.065733333,Planctomycetes,
,,,,,,,,,,,,,,NM105,0.0668,Planctomycetes,
,,,,,,,,,,,,,,NM107,0.038,Planctomycetes,
,,,,,,,,,,,,,,NM109,0.034,Planctomycetes,
,,,,,,,,,,,,,,NM111,0.0408,Planctomycetes,
,,,,,,,,,,,,,,NM1,0.044266667,Planctomycetes,
,,,,,,,,,,,,,,NM3,0.067066667,Planctomycetes,
,,,,,,,,,,,,,,NM5,0.046933333,Planctomycetes,
,,,,,,,,,,,,,,NM15,0.046666667,Planctomycetes,
,,,,,,,,,,,,,,NM19,0.041066667,Planctomycetes,
,,,,,,,,,,,,,,NM23,0.042933333,Planctomycetes,
,,,,,,,,,,,,,,NM31,0.0556,Planctomycetes,
,,,,,,,,,,,,,,NM33,0.0456,Planctomycetes,
,,,,,,,,,,,,,,NM35,0.0412,Planctomycetes,
,,,,,,,,,,,,,,NM37,0.0512,Planctomycetes,
,,,,,,,,,,,,,,NM39,0.044266667,Planctomycetes,
,,,,,,,,,,,,,,NM41,0.042,Planctomycetes,
,,,,,,,,,,,,,,NM43,0.0472,Planctomycetes,
,,,,,,,,,,,,,,NM45,0.0396,Planctomycetes,
,,,,,,,,,,,,,,NM47,0.034,Planctomycetes,
,,,,,,,,,,,,,,NM49,0.049066667,Planctomycetes,
,,,,,,,,,,,,,,NM51,0.039866667,Planctomycetes,
,,,,,,,,,,,,,,NM53,0.037466667,Planctomycetes,
,,,,,,,,,,,,,,NM55,0.036133333,Planctomycetes,
,,,,,,,,,,,,,,NM61,0.0572,Planctomycetes,
,,,,,,,,,,,,,,NM63,0.048533333,Planctomycetes,
,,,,,,,,,,,,,,NM65,0.0372,Planctomycetes,
,,,,,,,,,,,,,,NM67,0.055066667,Planctomycetes,
,,,,,,,,,,,,,,NM69,0.047066667,Planctomycetes,
,,,,,,,,,,,,,,NM71,0.052,Planctomycetes,
,,,,,,,,,,,,,,NM73,0.079466667,Planctomycetes,
,,,,,,,,,,,,,,NM79,0.0552,Planctomycetes,
,,,,,,,,,,,,,,NM81,0.018266667,Planctomycetes,
,,,,,,,,,,,,,,NM83,0.033066667,Planctomycetes,
,,,,,,,,,,,,,,NM85,0.0544,Planctomycetes,
,,,,,,,,,,,,,,NM113,0.0532,Planctomycetes,
,,,,,,,,,,,,,,NM115,0.054933333,Planctomycetes,
,,,,,,,,,,,,,,NM117,0.046133333,Planctomycetes,
,,,,,,,,,,,,,,NM119,0.0524,Planctomycetes,
,,,,,,,,,,,,,,NM121,0.031333333,Planctomycetes,
,,,,,,,,,,,,,,NM123,0.0572,Planctomycetes,
,,,,,,,,,,,,,,NM125,0.0632,Planctomycetes,
,,,,,,,,,,,,,,NM127,0.049333333,Planctomycetes,
,,,,,,,,,,,,,,NM129,0.058666667,Planctomycetes,
,,,,,,,,,,,,,,NM7,0.033733333,Planctomycetes,
,,,,,,,,,,,,,,NM9,0.038,Planctomycetes,
,,,,,,,,,,,,,,NM11,0.051733333,Planctomycetes,
,,,,,,,,,,,,,,NM13,0.048,Planctomycetes,
,,,,,,,,,,,,,,NM17,0.041866667,Planctomycetes,
,,,,,,,,,,,,,,NM21,0.041866667,Planctomycetes,
,,,,,,,,,,,,,,NM25,0.034133333,Planctomycetes,
,,,,,,,,,,,,,,NM27,0.074,Planctomycetes,
,,,,,,,,,,,,,,NM29,0.044133333,Planctomycetes,
,,,,,,,,,,,,,,NM57,0.038933333,Planctomycetes,
,,,,,,,,,,,,,,NM59,0.028133333,Planctomycetes,
,,,,,,,,,,,,,,NM75,0.026266667,Planctomycetes,
,,,,,,,,,,,,,,NM77,0.038666667,Planctomycetes,
,,,,,,,,,,,,,,NM87,0.015733333,Gemmatimonadetes,
,,,,,,,,,,,,,,NM89,0.024666667,Gemmatimonadetes,
,,,,,,,,,,,,,,NM91,0.019733333,Gemmatimonadetes,
,,,,,,,,,,,,,,NM93,0.021866667,Gemmatimonadetes,
,,,,,,,,,,,,,,NM95,0.029866667,Gemmatimonadetes,
,,,,,,,,,,,,,,NM97,0.030266667,Gemmatimonadetes,
,,,,,,,,,,,,,,NM99,0.020133333,Gemmatimonadetes,
,,,,,,,,,,,,,,NM101,0.020266667,Gemmatimonadetes,
,,,,,,,,,,,,,,NM103,0.036933333,Gemmatimonadetes,
,,,,,,,,,,,,,,NM105,0.025066667,Gemmatimonadetes,
,,,,,,,,,,,,,,NM107,0.028133333,Gemmatimonadetes,
,,,,,,,,,,,,,,NM109,0.020666667,Gemmatimonadetes,
,,,,,,,,,,,,,,NM111,0.052266667,Gemmatimonadetes,
,,,,,,,,,,,,,,NM1,0.025333333,Gemmatimonadetes,
,,,,,,,,,,,,,,NM3,0.033733333,Gemmatimonadetes,
,,,,,,,,,,,,,,NM5,0.030933333,Gemmatimonadetes,
,,,,,,,,,,,,,,NM15,0.022133333,Gemmatimonadetes,
,,,,,,,,,,,,,,NM19,0.020133333,Gemmatimonadetes,
,,,,,,,,,,,,,,NM23,0.027333333,Gemmatimonadetes,
,,,,,,,,,,,,,,NM31,0.034666667,Gemmatimonadetes,
,,,,,,,,,,,,,,NM33,0.025066667,Gemmatimonadetes,
,,,,,,,,,,,,,,NM35,0.022,Gemmatimonadetes,
,,,,,,,,,,,,,,NM37,0.026133333,Gemmatimonadetes,
,,,,,,,,,,,,,,NM39,0.0332,Gemmatimonadetes,
,,,,,,,,,,,,,,NM41,0.0168,Gemmatimonadetes,
,,,,,,,,,,,,,,NM43,0.021466667,Gemmatimonadetes,
,,,,,,,,,,,,,,NM45,0.017733333,Gemmatimonadetes,
,,,,,,,,,,,,,,NM47,0.020933333,Gemmatimonadetes,
,,,,,,,,,,,,,,NM49,0.027733333,Gemmatimonadetes,
,,,,,,,,,,,,,,NM51,0.032933333,Gemmatimonadetes,
,,,,,,,,,,,,,,NM53,0.024266667,Gemmatimonadetes,
,,,,,,,,,,,,,,NM55,0.0268,Gemmatimonadetes,
,,,,,,,,,,,,,,NM61,0.023733333,Gemmatimonadetes,
,,,,,,,,,,,,,,NM63,0.0288,Gemmatimonadetes,
,,,,,,,,,,,,,,NM65,0.0464,Gemmatimonadetes,
,,,,,,,,,,,,,,NM67,0.028533333,Gemmatimonadetes,
,,,,,,,,,,,,,,NM69,0.0268,Gemmatimonadetes,
,,,,,,,,,,,,,,NM71,0.034133333,Gemmatimonadetes,
,,,,,,,,,,,,,,NM73,0.029866667,Gemmatimonadetes,
,,,,,,,,,,,,,,NM79,0.017733333,Gemmatimonadetes,
,,,,,,,,,,,,,,NM81,0.021066667,Gemmatimonadetes,
,,,,,,,,,,,,,,NM83,0.013466667,Gemmatimonadetes,
,,,,,,,,,,,,,,NM85,0.026666667,Gemmatimonadetes,
,,,,,,,,,,,,,,NM113,0.041466667,Gemmatimonadetes,
,,,,,,,,,,,,,,NM115,0.028533333,Gemmatimonadetes,
,,,,,,,,,,,,,,NM117,0.028533333,Gemmatimonadetes,
,,,,,,,,,,,,,,NM119,0.034666667,Gemmatimonadetes,
,,,,,,,,,,,,,,NM121,0.030266667,Gemmatimonadetes,
,,,,,,,,,,,,,,NM123,0.017333333,Gemmatimonadetes,
,,,,,,,,,,,,,,NM125,0.029333333,Gemmatimonadetes,
,,,,,,,,,,,,,,NM127,0.042266667,Gemmatimonadetes,
,,,,,,,,,,,,,,NM129,0.0668,Gemmatimonadetes,
,,,,,,,,,,,,,,NM7,0.028533333,Gemmatimonadetes,
,,,,,,,,,,,,,,NM9,0.046,Gemmatimonadetes,
,,,,,,,,,,,,,,NM11,0.028933333,Gemmatimonadetes,
,,,,,,,,,,,,,,NM13,0.032933333,Gemmatimonadetes,
,,,,,,,,,,,,,,NM17,0.022,Gemmatimonadetes,
,,,,,,,,,,,,,,NM21,0.038,Gemmatimonadetes,
,,,,,,,,,,,,,,NM25,0.027866667,Gemmatimonadetes,
,,,,,,,,,,,,,,NM27,0.0632,Gemmatimonadetes,
,,,,,,,,,,,,,,NM29,0.022133333,Gemmatimonadetes,
,,,,,,,,,,,,,,NM57,0.0456,Gemmatimonadetes,
,,,,,,,,,,,,,,NM59,0.0412,Gemmatimonadetes,
,,,,,,,,,,,,,,NM75,0.025333333,Gemmatimonadetes,
,,,,,,,,,,,,,,NM77,0.026533333,Gemmatimonadetes,
,,,,,,,,,,,,,,NM87,0.009466667,Firmicutes,
,,,,,,,,,,,,,,NM89,0.010533333,Firmicutes,
,,,,,,,,,,,,,,NM91,0.015333333,Firmicutes,
,,,,,,,,,,,,,,NM93,0.0052,Firmicutes,
,,,,,,,,,,,,,,NM95,0.0108,Firmicutes,
,,,,,,,,,,,,,,NM97,0.014266667,Firmicutes,
,,,,,,,,,,,,,,NM99,0.0048,Firmicutes,
,,,,,,,,,,,,,,NM101,0.020266667,Firmicutes,
,,,,,,,,,,,,,,NM103,0.0064,Firmicutes,
,,,,,,,,,,,,,,NM105,0.008533333,Firmicutes,
,,,,,,,,,,,,,,NM107,0.0224,Firmicutes,
,,,,,,,,,,,,,,NM109,0.0208,Firmicutes,
,,,,,,,,,,,,,,NM111,0.0124,Firmicutes,
,,,,,,,,,,,,,,NM1,0.017466667,Firmicutes,
,,,,,,,,,,,,,,NM3,0.016,Firmicutes,
,,,,,,,,,,,,,,NM5,0.020533333,Firmicutes,
,,,,,,,,,,,,,,NM15,0.0164,Firmicutes,
,,,,,,,,,,,,,,NM19,0.029066667,Firmicutes,
,,,,,,,,,,,,,,NM23,0.0268,Firmicutes,
,,,,,,,,,,,,,,NM31,0.0272,Firmicutes,
,,,,,,,,,,,,,,NM33,0.0168,Firmicutes,
,,,,,,,,,,,,,,NM35,0.017733333,Firmicutes,
,,,,,,,,,,,,,,NM37,0.0284,Firmicutes,
,,,,,,,,,,,,,,NM39,0.022266667,Firmicutes,
,,,,,,,,,,,,,,NM41,0.015866667,Firmicutes,
,,,,,,,,,,,,,,NM43,0.0428,Firmicutes,
,,,,,,,,,,,,,,NM45,0.075066667,Firmicutes,
,,,,,,,,,,,,,,NM47,0.044133333,Firmicutes,
,,,,,,,,,,,,,,NM49,0.007733333,Firmicutes,
,,,,,,,,,,,,,,NM51,0.014533333,Firmicutes,
,,,,,,,,,,,,,,NM53,0.008266667,Firmicutes,
,,,,,,,,,,,,,,NM55,0.031866667,Firmicutes,
,,,,,,,,,,,,,,NM61,0.004533333,Firmicutes,
,,,,,,,,,,,,,,NM63,0.0128,Firmicutes,
,,,,,,,,,,,,,,NM65,0.0104,Firmicutes,
,,,,,,,,,,,,,,NM67,0.006933333,Firmicutes,
,,,,,,,,,,,,,,NM69,0.012,Firmicutes,
,,,,,,,,,,,,,,NM71,0.0188,Firmicutes,
,,,,,,,,,,,,,,NM73,0.005733333,Firmicutes,
,,,,,,,,,,,,,,NM79,0.032933333,Firmicutes,
,,,,,,,,,,,,,,NM81,0.0388,Firmicutes,
,,,,,,,,,,,,,,NM83,0.033333333,Firmicutes,
,,,,,,,,,,,,,,NM85,0.011466667,Firmicutes,
,,,,,,,,,,,,,,NM113,0.008,Firmicutes,
,,,,,,,,,,,,,,NM115,0.004533333,Firmicutes,
,,,,,,,,,,,,,,NM117,0.0052,Firmicutes,
,,,,,,,,,,,,,,NM119,0.014133333,Firmicutes,
,,,,,,,,,,,,,,NM121,0.0228,Firmicutes,
,,,,,,,,,,,,,,NM123,0.014533333,Firmicutes,
,,,,,,,,,,,,,,NM125,0.0112,Firmicutes,
,,,,,,,,,,,,,,NM127,0.0064,Firmicutes,
,,,,,,,,,,,,,,NM129,0.005066667,Firmicutes,
,,,,,,,,,,,,,,NM7,0.0324,Firmicutes,
,,,,,,,,,,,,,,NM9,0.043866667,Firmicutes,
,,,,,,,,,,,,,,NM11,0.0284,Firmicutes,
,,,,,,,,,,,,,,NM13,0.066266667,Firmicutes,
,,,,,,,,,,,,,,NM17,0.0248,Firmicutes,
,,,,,,,,,,,,,,NM21,0.036133333,Firmicutes,
,,,,,,,,,,,,,,NM25,0.0244,Firmicutes,
,,,,,,,,,,,,,,NM27,0.0156,Firmicutes,
,,,,,,,,,,,,,,NM29,0.0128,Firmicutes,
,,,,,,,,,,,,,,NM57,0.037066667,Firmicutes,
,,,,,,,,,,,,,,NM59,0.053333333,Firmicutes,
,,,,,,,,,,,,,,NM75,0.052933333,Firmicutes,
,,,,,,,,,,,,,,NM77,0.016133333,Firmicutes,
,,,,,,,,,,,,,,NM87,0.018933333,Nitrospirae,
,,,,,,,,,,,,,,NM89,0.034,Nitrospirae,
,,,,,,,,,,,,,,NM91,0.013733333,Nitrospirae,
,,,,,,,,,,,,,,NM93,0.013466667,Nitrospirae,
,,,,,,,,,,,,,,NM95,0.016133333,Nitrospirae,
,,,,,,,,,,,,,,NM97,0.0188,Nitrospirae,
,,,,,,,,,,,,,,NM99,0.051466667,Nitrospirae,
,,,,,,,,,,,,,,NM101,0.011866667,Nitrospirae,
,,,,,,,,,,,,,,NM103,0.0164,Nitrospirae,
,,,,,,,,,,,,,,NM105,0.019733333,Nitrospirae,
,,,,,,,,,,,,,,NM107,0.014266667,Nitrospirae,
,,,,,,,,,,,,,,NM109,0.007733333,Nitrospirae,
,,,,,,,,,,,,,,NM111,0.012133333,Nitrospirae,
,,,,,,,,,,,,,,NM1,0.011466667,Nitrospirae,
,,,,,,,,,,,,,,NM3,0.013466667,Nitrospirae,
,,,,,,,,,,,,,,NM5,0.009866667,Nitrospirae,
,,,,,,,,,,,,,,NM15,0.013466667,Nitrospirae,
,,,,,,,,,,,,,,NM19,0.007466667,Nitrospirae,
,,,,,,,,,,,,,,NM23,0.0084,Nitrospirae,
,,,,,,,,,,,,,,NM31,0.005733333,Nitrospirae,
,,,,,,,,,,,,,,NM33,0.009333333,Nitrospirae,
,,,,,,,,,,,,,,NM35,0.014266667,Nitrospirae,
,,,,,,,,,,,,,,NM37,0.0076,Nitrospirae,
,,,,,,,,,,,,,,NM39,0.011466667,Nitrospirae,
,,,,,,,,,,,,,,NM41,0.013733333,Nitrospirae,
,,,,,,,,,,,,,,NM43,0.011333333,Nitrospirae,
,,,,,,,,,,,,,,NM45,0.011733333,Nitrospirae,
,,,,,,,,,,,,,,NM47,0.013866667,Nitrospirae,
,,,,,,,,,,,,,,NM49,0.006133333,Nitrospirae,
,,,,,,,,,,,,,,NM51,0.008666667,Nitrospirae,
,,,,,,,,,,,,,,NM53,0.0132,Nitrospirae,
,,,,,,,,,,,,,,NM55,0.016666667,Nitrospirae,
,,,,,,,,,,,,,,NM61,0.0116,Nitrospirae,
,,,,,,,,,,,,,,NM63,0.015466667,Nitrospirae,
,,,,,,,,,,,,,,NM65,0.014266667,Nitrospirae,
,,,,,,,,,,,,,,NM67,0.017333333,Nitrospirae,
,,,,,,,,,,,,,,NM69,0.0136,Nitrospirae,
,,,,,,,,,,,,,,NM71,0.010266667,Nitrospirae,
,,,,,,,,,,,,,,NM73,0.013333333,Nitrospirae,
,,,,,,,,,,,,,,NM79,0.012,Nitrospirae,
,,,,,,,,,,,,,,NM81,0.006,Nitrospirae,
,,,,,,,,,,,,,,NM83,0.0184,Nitrospirae,
,,,,,,,,,,,,,,NM85,0.014133333,Nitrospirae,
,,,,,,,,,,,,,,NM113,0.012133333,Nitrospirae,
,,,,,,,,,,,,,,NM115,0.0228,Nitrospirae,
,,,,,,,,,,,,,,NM117,0.021333333,Nitrospirae,
,,,,,,,,,,,,,,NM119,0.018,Nitrospirae,
,,,,,,,,,,,,,,NM121,0.0064,Nitrospirae,
,,,,,,,,,,,,,,NM123,0.0188,Nitrospirae,
,,,,,,,,,,,,,,NM125,0.017333333,Nitrospirae,
,,,,,,,,,,,,,,NM127,0.015733333,Nitrospirae,
,,,,,,,,,,,,,,NM129,0.026666667,Nitrospirae,
,,,,,,,,,,,,,,NM7,0.010933333,Nitrospirae,
,,,,,,,,,,,,,,NM9,0.0144,Nitrospirae,
,,,,,,,,,,,,,,NM11,0.010933333,Nitrospirae,
,,,,,,,,,,,,,,NM13,0.011066667,Nitrospirae,
,,,,,,,,,,,,,,NM17,0.010133333,Nitrospirae,
,,,,,,,,,,,,,,NM21,0.011733333,Nitrospirae,
,,,,,,,,,,,,,,NM25,0.0088,Nitrospirae,
,,,,,,,,,,,,,,NM27,0.006933333,Nitrospirae,
,,,,,,,,,,,,,,NM29,0.0108,Nitrospirae,
,,,,,,,,,,,,,,NM57,0.012533333,Nitrospirae,
,,,,,,,,,,,,,,NM59,0.01,Nitrospirae,
,,,,,,,,,,,,,,NM75,0.010666667,Nitrospirae,
,,,,,,,,,,,,,,NM77,0.0108,Nitrospirae,
,,,,,,,,,,,,,,NM87,0.000133333,Euryarchaeota,
,,,,,,,,,,,,,,NM89,0.001333333,Euryarchaeota,
,,,,,,,,,,,,,,NM91,0.001466667,Euryarchaeota,
,,,,,,,,,,,,,,NM93,0.001066667,Euryarchaeota,
,,,,,,,,,,,,,,NM95,0.000133333,Euryarchaeota,
,,,,,,,,,,,,,,NM97,0.000266667,Euryarchaeota,
,,,,,,,,,,,,,,NM99,0.0012,Euryarchaeota,
,,,,,,,,,,,,,,NM101,0.000533333,Euryarchaeota,
,,,,,,,,,,,,,,NM103,0.0004,Euryarchaeota,
,,,,,,,,,,,,,,NM105,0.0004,Euryarchaeota,
,,,,,,,,,,,,,,NM107,0.002266667,Euryarchaeota,
,,,,,,,,,,,,,,NM109,0.002533333,Euryarchaeota,
,,,,,,,,,,,,,,NM111,0.000666667,Euryarchaeota,
,,,,,,,,,,,,,,NM1,0.001333333,Euryarchaeota,
,,,,,,,,,,,,,,NM3,0.001733333,Euryarchaeota,
,,,,,,,,,,,,,,NM5,0.001733333,Euryarchaeota,
,,,,,,,,,,,,,,NM15,0.001866667,Euryarchaeota,
,,,,,,,,,,,,,,NM19,0.003333333,Euryarchaeota,
,,,,,,,,,,,,,,NM23,0.0028,Euryarchaeota,
,,,,,,,,,,,,,,NM31,0.002533333,Euryarchaeota,
,,,,,,,,,,,,,,NM33,0.000533333,Euryarchaeota,
,,,,,,,,,,,,,,NM35,0.000666667,Euryarchaeota,
,,,,,,,,,,,,,,NM37,0.0008,Euryarchaeota,
,,,,,,,,,,,,,,NM39,0.001866667,Euryarchaeota,
,,,,,,,,,,,,,,NM41,0.0008,Euryarchaeota,
,,,,,,,,,,,,,,NM43,0.0012,Euryarchaeota,
,,,,,,,,,,,,,,NM45,0.000266667,Euryarchaeota,
,,,,,,,,,,,,,,NM47,0.000666667,Euryarchaeota,
,,,,,,,,,,,,,,NM49,0.0004,Euryarchaeota,
,,,,,,,,,,,,,,NM51,0.000266667,Euryarchaeota,
,,,,,,,,,,,,,,NM53,0.000266667,Euryarchaeota,
,,,,,,,,,,,,,,NM55,0.001066667,Euryarchaeota,
,,,,,,,,,,,,,,NM61,0.001066667,Euryarchaeota,
,,,,,,,,,,,,,,NM63,0.000533333,Euryarchaeota,
,,,,,,,,,,,,,,NM65,0.002933333,Euryarchaeota,
,,,,,,,,,,,,,,NM67,0.001733333,Euryarchaeota,
,,,,,,,,,,,,,,NM69,0.001333333,Euryarchaeota,
,,,,,,,,,,,,,,NM71,0.002533333,Euryarchaeota,
,,,,,,,,,,,,,,NM73,0.000533333,Euryarchaeota,
,,,,,,,,,,,,,,NM79,0.002133333,Euryarchaeota,
,,,,,,,,,,,,,,NM81,0.0016,Euryarchaeota,
,,,,,,,,,,,,,,NM83,0.0024,Euryarchaeota,
,,,,,,,,,,,,,,NM85,0.000266667,Euryarchaeota,
,,,,,,,,,,,,,,NM113,0,Euryarchaeota,
