Vegetation Type,,Acidobacteria,Proteobacteria,Actinobacteria,Bacteroidetes,Thaumarchaeota,Chloroflexi,Planctomycetes,Gemmatimonadetes,Firmicutes,Nitrospirae,Euryarchaeota,others,Site,Composition,Phylum,
Temperate Steppe,NM55,0.274666667,0.1388,0.173866667,0.075333333,0.1232,0.047866667,0.036133333,0.0268,0.031866667,0.016666667,0.001066667,0.053733333,NM55,0.274666667,Acidobacteria,
Temperate Steppe,NM61,0.328266667,0.203466667,0.060933333,0.1364,0.090533333,0.046266667,0.0572,0.023733333,0.004533333,0.0116,0.001066667,0.036,NM61,0.328266667,Acidobacteria,
Temperate Steppe,NM63,0.322533333,0.200933333,0.078133333,0.120533333,0.0784,0.048933333,0.048533333,0.0288,0.0128,0.015466667,0.000533333,0.0444,NM63,0.322533333,Acidobacteria,
Temperate Steppe,NM65,0.368266667,0.146133333,0.093333333,0.0976,0.1,0.055466667,0.0372,0.0464,0.0104,0.014266667,0.002933333,0.028,NM65,0.368266667,Acidobacteria,
Temperate Steppe,NM67,0.406933333,0.174666667,0.107333333,0.054533333,0.060933333,0.033333333,0.055066667,0.028533333,0.006933333,0.017333333,0.001733333,0.052666667,NM67,0.406933333,Acidobacteria,
Temperate Steppe,NM69,0.307733333,0.188133333,0.089866667,0.1436,0.0628,0.052533333,0.047066667,0.0268,0.012,0.0136,0.001333333,0.054533333,NM69,0.307733333,Acidobacteria,
Temperate Steppe,NM71,0.252,0.224266667,0.1028,0.117333333,0.077066667,0.049066667,0.052,0.034133333,0.0188,0.010266667,0.002533333,0.059733333,NM71,0.252,Acidobacteria,
Temperate Steppe,NM73,0.377733333,0.2336,0.099866667,0.059866667,0.012933333,0.048666667,0.079466667,0.029866667,0.005733333,0.013333333,0.000533333,0.0384,NM73,0.377733333,Acidobacteria,
Temperate Steppe,NM79,0.2984,0.202533333,0.076533333,0.117466667,0.070266667,0.053066667,0.0552,0.017733333,0.032933333,0.012,0.002133333,0.061733333,NM79,0.2984,Acidobacteria,
Temperate Steppe,NM81,0.208666667,0.2544,0.100533333,0.100133333,0.1728,0.034266667,0.018266667,0.021066667,0.0388,0.006,0.0016,0.043466667,NM81,0.208666667,Acidobacteria,
